Call of Duty: Black Ops 6,FPS,Xbox Game Pass,Started,10
Moto GP 22,Race,Xbox PC,Started,8
Ragnarok Online,MMORPG,Gravity,Loved,10
Call of Duty: MW 2,FPS,Battle.net,Finished,10
Call of Duty: MW 3,FPS,Battle.net,Finished,10
Horizon Zero Dawn,RPG,Epic,Started,10
